OBJECTID,CSO_OUTFALLS,Shape__Area,Shape__Length
115,P01,518212.39453125,6116.3073332153
116,P02,803759.46875,4983.72753377879
117,P03,229805.5546875,2154.57783217982
118,P04,326206.5703125,3446.08295431576
119,P05,1203247.015625,7478.87656758162
120,S01,3539084.60546875,12344.4853180317
121,S02,199836.078125,2320.15016484376
122,S03,57217.3125,1535.65222641167
123,S04,430810.0703125,3740.31355228973
124,S05,1091560.55859375,7710.22138767044
125,S05_SFRM,4037851.0234375,10937.4007893814
126,S06,957744.92578125,6736.87432624315
127,S06_S07,1057991.6171875,7016.34914992071
128,S07,557531.1328125,6274.78090400858
129,S08,59655.14453125,1255.00817490257
130,S09,1412663.3671875,7094.6911716523
131,S10,443246.70703125,4793.80681135347
132,S11,197790.1328125,2264.59769276527
133,S12A,163950.1875,2808.84688298205
134,S13,173104.94140625,2629.17733847294
135,S14,355598.51171875,2738.22402294323
136,S15,83387.0546875,1650.19010058293
137,S16,175333.9140625,2588.32376985832
138,S17,191881.34375,2870.89162445432
139,S18,1140092.65625,7729.52997306882
140,S19,93317.3984375,1712.99069456542
141,S20,1949675.1328125,7477.31244430087
142,S21,68761.69921875,2352.63429721835
143,S22,753172.0390625,5583.18058370769
144,S23,243838.609375,3244.44905996972
145,S24,136745.98046875,1645.82928888905
146,S25,519790.40234375,4336.57853377893
147,S26,2461424.8984375,12288.7341593517
148,S30,145857.3125,1651.64520783712
149,S31,1076362.46875,7594.43786742276
150,S32,109611.3203125,1939.56170821981
151,S33,2467772.61328125,10175.1677427746
152,S36A,1250261.49609375,7254.2725855818
153,S37,523827.765625,3688.72199243197
154,S38,1980719.16015625,8623.33657345128
155,S42,2425138.0625,9062.79838117122
156,S42_S42A,554486.6015625,5921.74398728581
157,S42A,2297911.11328125,12586.6237747877
158,S44,1997760,8714.51746059066
159,S45,5001895.93359375,14589.3544300023
160,S46,1336483.99609375,8725.27709790815
161,S50,23241874.53125,36687.4306973842
162,T01,1131256.7578125,5138.28069637962
163,T03,695548.39453125,4270.26380569084
164,T04,446051.52734375,3219.95084550617
165,T05,386284.31640625,3399.77989145907
166,T06,2491957.48046875,10035.9423843353
167,T07,149976.94921875,1815.25207979557
168,T08,6861760.73046875,17591.1764115607
169,T08_TFRRR,6633396.37890625,21869.5185397722
170,T09,233823.296875,2495.97480162737
171,T10,393703.04296875,3802.89974655878
172,T11,256838.6953125,3175.08378178021
173,T12,57560.16796875,1102.81248555066
174,T13,807201.9921875,5772.06811649063
175,T14,37517966.7265625,44456.2965292954
176,T15,1343461.3359375,6251.99862454222
