OBJECTID,PROJECTID,PROJECTNAME,WORKNUMBER,PRIMARYPROGRAMNAME,LOCATIONTYPE,X,Y,SMP_TREETRENCH,SMP_PLANTER,SMP_BUMPOUT,SMP_RAINGARDEN,SMP_BASIN,SMP_INFILTRATIONSTORAGETRENCH,SMP_PERVIOUSPAVING,SMP_SWALE,SMP_WETLAND,SMP_GREENROOF,SMP_OTHER,SMP_STORMWATERTREE,SMP_DRAINAGEWELL,SMP_GREENGUTTER,SMP_BLUEROOF,SMP_DEPAVING,SMP_INFILTRATIONCOLUMNS,DESIGNSTARTDATE,INPCDATE,CONSTRUCTIONCOMPLETEDATE,STATUS,SMPDATA_PHASE,TYPE,FINAL_LINK_COPY
32,1007,Wissinoming Park ,50098,Open Space,Point,2719275.95382103,262894.32635538,0,0,0,4,0,5,0,0,0,0,,0,0,0,0,0,,,,,Construction-Substantially Complete,Built,GSI,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/programs/green-parks
33,1012,Grays Ferry Neighborhood Disconnection SMP,50102,Open Space,Point,2685263.49190667,228855.64880976,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,0,,,,,Construction-Substantially Complete,Designed,GSI,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/programs/green-parks
34,1015,Hagert Playground,50150,Open Space,Parcel,2703095.34441198,247752.28337935,0,0,0,2,0,2,0,0,0,0,,0,0,0,0,0,,,,,Construction-Substantially Complete,Built,GSI,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/programs/green-parks
35,1077,McIlvain Playground,50122,Open Space,Parcel,2716139.48558552,263128.70938939,1,0,0,0,0,1,0,0,0,0,,0,0,0,0,0,,,,,Construction-Construction Started,Designed,GSI,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/programs/green-parks
36,1107,Weinberg Park,50128,Open Space,Parcel,2695805.75456387,224846.65071604,2,0,0,1,0,0,0,0,0,0,,0,0,0,0,0,,,,,Projects Control-Bid Advertised,Designed,GSI,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/programs/green-parks
37,1140,Wharton Square Greening Improvement,50134,Open Space,Parcel,2688186.64965688,229835.3452729,1,0,0,4,0,1,0,0,0,0,,0,0,0,0,0,,,,,Construction-Construction Started,Designed,GSI,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/programs/green-parks
38,1142,PHA/Blumberg Green Streets,50135,Streets,Parcel,2690584.52040091,245560.50851194,0,26,2,0,0,8,0,0,0,0,,0,0,0,0,0,,,,,Construction-Construction Started,Designed,GSI,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/programs/green_streets
39,1146,Buist Park Improvements,50138,Open Space,Parcel,2674370.37966079,223306.97858287,0,0,1,1,0,1,0,0,0,0,,0,0,0,0,0,,,,,Construction-Construction Started,Designed,GSI,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/programs/green-parks
40,1178,Venice Island,70013,Facilities,Parcel,2676894.83049101,261276.2942127,0,20,0,5,0,6,0,0,0,1,,0,0,0,0,0,,,,,Construction-Substantially Complete,Designed,GSI,http://www.phillywatersheds.org/what_were_doing/traditional_infrastructure/projects/venice_island 
41,1163,Nelson Playground and Green Improvements,50145,Open Space,Parcel,2700234.22129965,249698.94961698,0,0,0,2,0,2,0,0,0,0,,0,0,0,0,0,,,,,Construction-Substantially Complete,Designed,GSI,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/programs/green-parks
